firstname, lastname, dob
Harold,Cole,10/15/1967
Ola,Rodriquez,3/16/1967
Polly,Kennedy,4/30/1978
Laura,Cummings,12/28/1995
Kenneth,Williams,6/11/1990
Lloyd,Farmer,7/5/1976
Michael,Sherman,1/6/1987
Mark,Burke,6/18/1957
Ann,Douglas,8/11/1991
Luis,Valdez,9/13/1989
Hettie,Wells,2/5/2004
Eddie,Larson,10/24/1974
Mildred,Bryan,5/21/1999
Rachel,Stanley,1/18/1963
Jonathan,Sherman,4/20/1986
Charlie,Ramirez,7/9/1989
Erik,Bowers,10/10/1988
Victor,Brock,7/12/1969
Helena,Sullivan,4/8/1960
Louise,Robbins,4/18/1962
Mark,Sanders,10/16/1980
Donald,Moody,1/3/1998
Nelle,Kennedy,12/21/2000
Rosa,Carroll,1/10/1995
Terry,Wise,6/26/1973
Willie,Castro,9/22/1975
Vernon,Delgado,12/21/1985
Pauline,Patton,4/2/1981
Owen,Morton,10/1/1990
Alan,Patterson,11/24/1957
Janie,Torres,11/17/1966
Isabel,Strickland,12/30/1971
Alexander,Craig,9/4/1980
Vera,Parks,1/15/1974
Lelia,Silva,12/7/1984
Marguerite,Ramsey,8/12/1983
Randy,Steele,8/14/2000
Inez,Scott,9/29/1967
Bertie,Harrison,3/6/1977
Eugene,Mills,7/19/1972
Gene,Barker,6/27/1979
Ola,Black,11/24/1972
Carrie,Arnold,6/23/1978
Maggie,Richards,8/1/1996
Harriett,Obrien,2/8/1974
Dollie,Jennings,4/17/1977
Troy,Ramsey,2/24/1958
Theresa,West,7/14/1974
Estella,Poole,4/13/1970
Randall,Buchanan,4/28/2003
Catherine,Crawford,3/3/1979
Jordan,Boone,7/15/1996
Julia,Roy,5/18/1966
Emma,Kelley,10/1/1966
Matthew,Pearson,2/7/1983
Winnie,Hodges,7/29/2000
Lina,Maldonado,11/10/1969
Jerry,Nunez,10/30/1997
Alberta,Poole,11/13/1989
Alvin,Moss,6/26/1991
Elizabeth,King,2/19/1976
Nathan,Manning,5/1/1958
Don,Mack,10/21/1964
Ricardo,Wise,10/13/2001
Henry,Graves,7/28/1974
Maude,Owen,10/4/1986
Janie,Hale,12/10/1974
Billy,Simmons,4/17/1960
Julia,Dixon,10/29/1994
Allie,Spencer,1/6/1986
Dustin,Mendoza,12/18/1977
Richard,Bass,2/9/1994
Minerva,Dennis,3/12/1960
Dorothy,McKenzie,9/20/1964
Melvin,Washington,2/21/1957
Aiden,Fox,9/17/1963
Lucy,Hunter,4/27/1990
Pearl,Porter,5/12/1994
Willie,Hogan,7/13/1992
Leroy,Bridges,6/1/1991
Isabella,Jackson,1/15/1957
Danny,Logan,7/7/1980
Lillie,Chavez,11/10/1966
Stella,Lindsey,12/10/1958
Adam,Moran,4/6/1971
Dustin,Fleming,6/18/1965
Margaret,Higgins,8/11/1993
Angel,Bryant,8/2/1982
Minerva,McKinney,2/19/1994
Gavin,Quinn,11/30/1967
Ricardo,Salazar,11/13/1958
Juan,Montgomery,8/1/1964
Mathilda,Zimmerman,11/27/1976
Bruce,Romero,2/25/1984
Steve,Mack,8/17/1973
Fanny,McDonald,2/26/1988
Roxie,Saunders,2/15/1970
Sara,Porter,12/16/2004
Elnora,Harris,6/8/1963
Floyd,Holland,11/21/1998
Walter,Powers,12/7/1966
Fred,Carson,3/30/2003
Gertrude,Erickson,5/29/1999
Carlos,Wolfe,7/7/1996
Nora,Warren,3/3/1995
Lucinda,Swanson,1/25/1964
Eleanor,King,12/30/1973
Eugenia,Garner,11/13/1986
Julian,Francis,7/15/1997
Kate,Haynes,11/11/1979
Rachel,Jordan,5/14/1979
Lewis,Simon,1/14/1970
Benjamin,Fernandez,9/23/1972
Adeline,Doyle,12/4/1964
Cody,Anderson,10/12/1965
Anthony,James,10/21/1975
Maud,Gomez,10/10/1969
Floyd,Erickson,11/9/1979
Ann,Payne,3/14/2000
Justin,Farmer,2/18/1967
Maggie,McBride,7/19/2000
Georgia,Warner,11/3/1987
Edwin,Hughes,3/19/1961
Jason,Hayes,7/10/1960
Dorothy,Chambers,10/7/1998
Bernard,Cummings,6/23/1994
Rosalie,Vega,3/9/1982
Tyler,Chambers,12/27/1983
Donald,Guerrero,11/8/1997
Eula,Copeland,5/5/1957
Josie,Holt,10/31/1961
Lilly,Huff,12/24/1984
Hannah,Lloyd,12/11/1965
Nettie,Holland,9/17/1992
Mathilda,Frazier,6/30/1990
Aiden,Price,11/8/1972
Rodney,Clayton,11/3/1980
James,Griffith,2/9/1963
Christopher,Figueroa,1/4/1984
Georgie,Johnson,7/24/1979
Eugenia,Benson,7/30/1994
Clara,Schwartz,3/5/1971
Lawrence,Alvarez,11/10/1993
Irene,Barker,11/5/1969
Jesus,Carter,2/26/2002
Jayden,Ramos,2/10/1995
Juan,Rodgers,6/6/2001
Lester,Morgan,4/14/1999
Mayme,Ellis,12/22/1972
Steve,Carpenter,4/23/2000
Hunter,Lindsey,7/14/2003
Clifford,Bush,8/16/1967
Matilda,Frazier,3/2/1970
Darrell,Russell,8/6/1996
Gregory,Bates,9/11/1983
Julia,Vargas,7/12/1996
Gilbert,Maldonado,9/25/1965
Carolyn,Simmons,11/30/1984
Leah,Maldonado,9/3/2003
Grace,Rice,2/13/1999
Nell,Schultz,12/30/1983
Jean,McDaniel,8/9/1997
Charlie,Burgess,11/27/1964
Kate,Reeves,6/6/1993
Connor,Figueroa,12/18/2000
Janie,Terry,2/8/1994
Augusta,Murray,12/10/2001
Estelle,Sullivan,2/7/1968
Barry,Hopkins,7/22/1965
Daisy,Gibbs,10/21/2002
Jeremiah,Oliver,9/16/1976
Bessie,Watson,3/31/1995
Flora,Cook,12/2/1976
Charles,McGuire,6/19/1980
Nathaniel,Barker,11/30/1995
Frederick,Holmes,3/29/1959
Violet,Powers,12/16/1966
Addie,Newman,4/14/2002
Chester,Holmes,9/24/2000
Larry,Moss,1/3/1999
Lawrence,Gibbs,12/12/1997
Loretta,Barker,2/4/2003
Clara,Sanders,1/3/1963
Sarah,McKenzie,2/25/2001
Amy,Goodwin,5/9/1984
Shane,Vasquez,7/19/1983
Flora,Day,6/11/1986
Lucinda,Anderson,10/7/1977
Jay,McGee,12/16/1991
Hilda,Nichols,6/14/1977
Mike,Tate,10/5/2004
Irene,Bush,7/4/1964
Ella,Hopkins,10/25/1961
Mildred,Brooks,8/10/1998
Eunice,Woods,3/11/1965
Sara,Barnes,8/21/1977
Duane,Brock,2/20/1970
Matthew,Daniels,11/12/1994
Nellie,Quinn,8/13/1991
Mary,Dunn,5/24/1965
Hettie,Lloyd,11/5/1970
Ivan,Garcia,11/7/2000
Andrew,McCormick,10/17/1991
Adam,Holt,6/6/1990
Jeremy,Burgess,2/18/1965
Evelyn,Collier,11/23/1990
Albert,Lamb,1/27/1994
Janie,Buchanan,7/10/1994
Jacob,Goodwin,8/21/1974
Christina,Washington,10/7/1964
Rosa,Horton,3/29/1965
Sam,Greene,1/9/1969
Gabriel,Nash,3/1/1966
Tom,Stewart,2/14/1991
Christian,White,7/15/1987
Jane,Ward,12/10/2004
Fred,Burke,8/18/1957
Jeffery,Huff,7/29/1993
Jesus,Boyd,9/6/1982
Janie,Herrera,1/31/1980
Minnie,Morgan,7/25/1989
Jane,Frank,4/10/1992
Frank,McLaughlin,12/8/1963
Alexander,Wade,11/18/1957
Genevieve,King,2/8/1976
Raymond,Duncan,2/3/2001
Blanche,Mason,9/10/1963
Dennis,Ross,11/11/2001
Alexander,Kim,2/2/1998
Verna,Fowler,4/30/1999
Agnes,Wells,3/4/1973
Donald,Austin,4/21/1962
Glen,McBride,12/18/1997
Ola,Hale,4/22/1998
Kevin,Johnson,9/1/1995
Jennie,Yates,7/17/1957
Christina,Cohen,6/21/1966
Leonard,Kelley,1/12/1998
Mollie,Williamson,3/3/1974
Katharine,Townsend,10/25/1992
Betty,Dean,12/28/1996
Bertie,Houston,11/27/1979
Lucy,Rice,2/5/1971
Elijah,Greene,11/13/1992
Abbie,Barker,9/8/1959
Caleb,Huff,2/7/1994
Myrtle,Flores,9/17/1967
Alice,Thompson,5/30/1961
Myrtle,Curry,1/19/1959
Rebecca,Kelley,10/2/1966
Virgie,Lyons,6/19/2004
Angel,Haynes,11/26/1983
Alex,Bridges,6/30/1991
Gregory,Berry,8/8/1995
Austin,Freeman,10/19/1997
Beatrice,Taylor,10/22/1987
Alma,May,1/12/1984
Darrell,Weber,11/9/1978
Adam,Houston,4/10/1993
Luella,Miles,8/2/1992
Margaret,Wilkins,10/22/1968
Craig,Jefferson,1/26/1993
Belle,Mathis,1/24/1984
Norman,Hernandez,7/26/1997
Stella,Brown,4/5/1991
Harriett,Becker,6/18/1985
Alice,Porter,4/8/1963
Johnny,Hall,1/28/1992
Kevin,Gray,1/20/1979
Richard,Nelson,2/1/1979
Sallie,Kelley,9/5/1968
Tyler,Mills,4/25/1995
Sarah,Norman,11/26/1975
Genevieve,Christensen,11/13/1984
Myra,Silva,11/8/1967
Lewis,Curry,7/25/1989
Myrtle,Burton,8/29/1958
Josephine,Allison,4/16/1993
Vernon,Diaz,2/20/2004
Elizabeth,Riley,5/20/1982
Gerald,Guerrero,6/2/2001
Elsie,Olson,11/10/1985
Justin,Townsend,3/2/1982
Elva,Warner,3/7/1974
Mabelle,Perry,8/2/1976
Flora,Hughes,3/19/1991
Matthew,Hansen,12/9/1974
Jared,Marshall,9/10/1967
Luis,Summers,7/14/1992
Kenneth,Norman,4/13/1999
Myrtie,Hammond,11/29/1981
Mina,Lambert,2/20/1977
Lula,Tucker,6/24/1982
Emily,Parsons,1/20/1994
Adam,Warren,8/31/1983
Bettie,Huff,8/1/1968
Joe,Brewer,11/13/2002
Clyde,Ryan,9/7/1991
Lucas,Montgomery,10/22/1968
Louisa,Henderson,4/17/1971
Verna,Gardner,1/31/1961
Tillie,Rodgers,8/13/1967
Allie,Hansen,1/31/1958
Tommy,Boyd,8/29/1995
Eunice,Henry,8/15/1970
Lettie,Sutton,6/27/1959
Phoebe,Ingram,7/24/1965
Louisa,Clarke,11/23/1982
Mollie,Lyons,5/23/1998
Lucas,Guzman,8/12/1961
Ricky,Waters,3/27/1993
Gilbert,Stevenson,8/12/1963
Evan,Burns,12/12/1993
Beulah,Neal,10/26/1993
Charlie,Holt,5/15/1988
Effie,Woods,10/13/1981
Ethan,Carr,2/13/1982
Bill,Hansen,4/29/1997
Ronnie,Smith,7/7/1995
Georgia,Santos,7/9/1975
Estella,McGee,9/12/1998
Zachary,Weaver,6/7/1960
Grace,Thornton,11/8/1968
Nelle,Rogers,8/4/1986
Elizabeth,Delgado,1/10/1973
Ellen,Allison,1/29/1960
Shawn,McCoy,7/22/1968
Virginia,Holt,1/3/1970
Noah,Hicks,7/7/1983
Alexander,Baldwin,11/10/1972
Eleanor,Rogers,2/2/1998
Millie,Bowen,2/22/1964
Glenn,Saunders,12/9/1994
Justin,Klein,8/8/1958
Luke,Vasquez,11/4/1973
Catherine,Farmer,3/27/1968
Katharine,Griffith,9/2/1996
Howard,Webb,11/6/1987
Lelia,McCormick,10/15/1967
Cecelia,Padilla,8/16/1997
Edgar,Salazar,4/14/1982
Willie,Neal,12/1/1984
Derek,Castro,6/20/1967
Caleb,Barnett,9/16/2000
Jeremiah,Patterson,9/1/1967
Winnie,Powell,1/5/1979
Pauline,Poole,11/13/2003
Allen,Myers,2/15/1992
Douglas,Hill,1/24/1991
